Job_dep,dep_act_rate
01,79.1
02,68.4
03,61.5
04,59.9
05,63.0
06,72.3
07,64.7
08,66.4
09,61.0
10,68.7
11,60.0
12,62.8
13,73.7
14,69.8
15,62.8
16,66.7
17,62.3
18,65.5
19,63.7
2A,69.9
2B,67.3
21,72.2
22,64.1
23,57.3
24,59.2
25,77.7
26,69.0
27,73.0
28,73.0
29,67.0
30,66.2
31,80.0
32,63.7
33,76.4
34,68.8
35,76.1
36,61.8
37,71.3
38,76.5
39,70.7
40,65.1
41,66.7
42,69.2
43,65.9
44,76.6
45,72.9
46,58.1
47,63.1
48,64.3
49,72.5
50,66.8
51,73.6
52,64.5
53,69.7
54,67.3
55,66.1
56,64.8
57,62.9
58,58.8
59,74.1
60,76.7
61,62.9
62,70.6
63,71.0
64,67.1
65,62.0
66,59.6
67,76.6
68,78.0
69,79.4
70,67.8
71,66.0
72,69.0
73,72.8
74,83.7
75,86.9
76,71.9
77,82.6
78,86.9
79,70.5
80,70.4
81,65.3
82,68.7
83,64.1
84,67.8
85,66.6
86,69.1
87,65.9
88,66.2
89,66.0
90,75.4
91,83.9
92,92.4
93,82.5
94,86.1
95,84.4
971,68.5
972,70.9
973,78.9
974,75.0
976,90.4